Year,CO2 Emissions (Gt),Energy Consumption (PWh),Electricity Generation (PWh),Population (Billions),GWP,CO2 Emissions (kg),Population,GWP per Capita,Carbon Intensity of Economy (kg/$),Energy Intensity of Economy (kWh/$),Carbon Intensity of Energy (kg/kWh),Carbon Intensity of Energy (g/kWh)
1976,17.347432475555955,70.3809775952922,0,4.139151082,6412245309406.65,17347432475555.955,4139151081.9999995,1549.1691852688577,2.7053600788022845,10.976026991987432,0.24647899287941022,246.4789928794102
1977,17.89451070760503,72.83746615068914,0,4.211781677,7252968306810.71,17894510707605.027,4211781677.0000005,1722.0665416771812,2.4671982491363784,10.042435464979631,0.2456772819442144,245.6772819442144
1978,18.182152697812775,75.10773231263603,0,4.285609387,8537753756958.14,18182152697812.773,4285609387,1992.1913048950814,2.1296178380636235,8.797130305078706,0.24208097006749638,242.08097006749637
1979,18.774557199739697,77.75216876018585,0,4.361295248,9919046089674.77,18774557199739.695,4361295248,2274.3349224575977,1.8927785020863115,7.838674007284024,0.24146666902175834,241.46666902175835
1980,18.61340754397138,77.24993704357394,0,4.437690434,11166003844627.3,18613407543971.38,4437690434,2516.1745756480364,1.666971264113214,6.918315461689901,0.2409504558362581,240.9504558362581
1981,18.37856619601729,76.8259069064003,0,4.515764583,11457611762565.2,18378566196017.29,4515764583,2537.247359106895,1.604048607761744,6.705228672297067,0.2392235501809115,239.22355018091147
1982,18.193178233681877,76.45129391671968,0,4.596813158,11355656421230.4,18193178233681.88,4596813158,2470.332387007669,1.602124752530213,6.732441620352941,0.2379708347840413,237.9708347840413
1983,18.356355163945768,77.62454024841465,0,4.678525765,11616289845852.5,18356355163945.77,4678525765,2482.8953455282513,1.5802253049410397,6.68238665516166,0.2364761853043074,236.4761853043074
1984,19.043286846931974,81.3181793199095,0,4.75998236,12058393957798,19043286846931.973,4759982360,2533.2854296119704,1.579255654905597,6.743699003740224,0.23418240553584943,234.18240553584943
1985,19.475045487671014,83.52453723518856,9.866296467613845,4.843067309,12681690895939.6,19475045487671.016,4843067309,2618.5246016244455,1.5356820827344482,6.586230331629617,0.23316555987413784,233.16555987413784
1986,19.80876397980719,85.34402877955362,10.16324080177749,4.928822143,15014218229942.7,19808763979807.188,4928822143,3046.2081597458646,1.3193336926662471,5.68421395456694,0.23210486150090082,232.10486150090082
1987,20.42066219072396,88.35176334153402,10.650415821371384,5.016798785,17083141772090.1,20420662190723.96,5016798785,3405.187751035165,1.1953692396375588,5.1718685309912,0.2311290846769579,231.1290846769579
1988,21.10330187145145,91.69108010414297,11.120464208733212,5.105701987,19129417553328,21103301871451.45,5105701987,3746.67726436733,1.10318580336389,4.793197693998331,0.23015654137220615,230.15654137220614
1989,21.51231586139742,93.66857626416976,11.667768094545997,5.19473138,20080076891104.8,21512315861397.418,5194731380,3865.4697273499446,1.0713263688211812,4.664751871824936,0.22966417041214643,229.66417041214643
1990,21.59822267156972,94.68969914139059,11.91374813078445,5.284886348,22579759701252.1,21598222671569.72,5284886348,4272.515663425219,0.9565302269524173,4.193565405221731,0.2280947438571884,228.0947438571884
1991,21.609079662252068,95.40027026034794,12.188923103844836,5.372078249,23909829105950.2,21609079662252.066,5372078249,4450.7596497502545,0.9037739068103349,3.99000218017479,0.226509627313222,226.50962731322198
1992,21.685576942638434,96.09758658029257,12.290976480487654,5.456141249,25389800980490.1,21685576942638.434,5456141249,4653.435426574328,0.8541058261662606,3.7848893204848424,0.2256620349619233,225.6620349619233
1993,21.718889864846222,96.66150305780893,12.549664486781586,5.541075501,25834735037805.8,21718889864846.223,5541075501,4662.404443531476,0.8406856053705769,3.741532588445645,0.22469017321049853,224.69017321049853
1994,21.961358803941653,97.9447029802854,12.880130533506703,5.624840414,27740746941786.4,21961358803941.652,5624840414,4931.828265339013,0.7916642926027653,3.5307161406223524,0.2242220164612894,224.2220164612894
1995,22.22021134402656,99.90781718339699,13.33491868500996,5.709757338,30840585358429,22220211344026.56,5709757338,5401.382849175822,0.7204860441455136,3.2394915992115343,0.2224071346012671,222.4071346012671
1996,22.84954664373369,102.82850878157888,13.761060074014242,5.792568347,31518975357605.6,22849546643733.688,5792568347,5441.278111794647,0.724945731404306,3.2624318403410952,0.2222102305525902,222.21023055259022
1997,23.05593168901277,103.93593156491241,14.09042447657677,5.875398158,31403319223627.4,23055931689012.77,5875398158,5344.8835941217585,0.7341877310748038,3.309711652604943,0.22182830655261276,221.82830655261276
1998,23.130264660513497,104.69525731673502,14.46427484094704,5.95723746,31314851252776.4,23130264660513.496,5957237460,5256.606180807908,0.7386356228807809,3.3433100630632135,0.22092944086796026,220.92944086796027
1999,23.460830974716636,106.58241978812471,14.881223499782791,6.038067278,32486113872865.7,23460830974716.637,6038067278,5380.217274363682,0.7221802849836247,3.2808608689003145,0.2201191436763628,220.1191436763628
2e3,24.003372382511184,109.21094985566631,15.510530941363877,6.118075293,33543172517758.5,24003372382511.184,6118075293,5482.634801199152,0.7155963667361298,3.255832458836373,0.21978906340650042,219.78906340650042
2001,24.34042333704554,110.52731040912055,15.736988439753821,6.197638117,33335981983184.4,24340423337045.54,6197638117,5378.8203431472475,0.7301546823886432,3.3155558598775823,0.22022089605680847,220.22089605680847
2002,24.880466595680833,113.00359303888143,16.286080821048,6.27682441788287,34612407886315.4,24880466595680.832,6276824417.88287,5514.3183211726555,0.7188308504106629,3.2648290003412135,0.2201741194823792,220.17411948237918
2003,26.115118188695398,117.19883484274179,16.8854860711439,6.35625957389893,38867460911728.5,26115118188695.4,6356259573.89893,6114.832231102104,0.6719018319206697,3.0153457955205996,0.222827455782618,222.82745578261802
2004,27.436590690366906,122.8892819777387,17.67188722588216,6.43634699799137,43770744134898.4,27436590690366.906,6436346997.99137,6800.5569228256645,0.6268248628766565,2.807566661398364,0.2232626820566583,223.26268205665832
2005,28.54980562508254,127.22007926270203,18.430619086073804,6.51702079824397,47385623695571.6,28549805625082.543,6517020798.24397,7271.056079541712,0.6024993109408129,2.6847822048312793,0.22441273256974523,224.41273256974523
2006,29.4300872900224,131.03175904278058,19.131652505884038,6.59842125748499,51306757202160.1,29430087290022.4,6598421257.48499,7775.6110439235335,0.5736103565084277,2.5538889259067012,0.2246027032302433,224.60270323024332
