Country,Year,Carbon Intensity of Economy (g/$),Carbon Intensity of Electricity (g/kWh),Carbon Intensity of Energy (g/kWh),CO2 Emissions (kg),CO2 Emissions (Mt),CO2 Emissions per Capita (kg),Coal Energy Consumption (Mtoe),Coal Energy Consumption per Capita (MWh),Coal Energy Consumption (TWh),Electricity Generation per Capita (MWh),Electricity Generation (TWh),Electrification,Energy Consumption (Mtoe),Energy Consumption per Capita (MWh),Energy Consumption (TWh),Energy Intensity of Economy (kWh/$),Gas Energy Consumption (Mtoe),Gas Energy Consumption per Capita (MWh),Gas Energy Consumption (TWh),GDP,GDP (Millions),GDP per Capita,Hydro Electricity Generation per Capita (MWh),Hydro Electricity Generation (TWh),Nuclear Electricity Generation per Capita (MWh),Nuclear Electricity Generation (TWh),Nuclear Energy Consumption (Mtoe),Nuclear Energy Consumption per Capita (MWh),Nuclear Energy Consumption (TWh),Oil Energy Consumption (Mt),Oil Energy Consumption per Capita (MWh),Oil Energy Consumption (TWh),Population,Population (Millions),Solar Electricity Generation per Capita (MWh),Solar Electricity Generation (TWh),Wind Electricity Generation per Capita (MWh),Wind Electricity Generation (TWh)
Indonesia,2012,556.5497998598344,2550.1468403574254,257.5531755189391,510840314766.71875,510.84031476671873,2052.5300586208987,53.0183824283,2.4774822421187825,616.6037876411291,0.8048674006290629,200.318,1.1745768454907635,170.54482281770407,7.969344794469314,1983.4362893698985,2.160912202842976,38.024969402610004,1.776858933398753,442.2303941523544,917869910105.749,917869.910105749,3687.95399645786,0.051425722404633514,12.799,0,0,0,0,0,74.41547515025519,3.477341438564523,865.4519759974679,248883232,248.883232,1.209402487990834e-5,0.0030099999999999997,1.8522742424045666e-5,0.00461
Indonesia,2013,573.6000395113633,2421.1424499165905,258.2986870137999,523423880876.52783,523.4238808765278,2076.813002613589,57.0135670522,2.630884542020265,663.067784817086,0.8577822435376061,216.1888,1.2407422496243385,174.24150750525004,8.040354469562725,2026.4287322860582,2.2206850764236292,36.746797008870004,1.6956767523575274,427.36524921315817,912524136718.018,912524.136718018,3620.66398109522,0.06717393955233422,16.93,0,0,0,0,0,74.46252779499689,3.436064843237208,865.9991982558139,252032263,252.032263,2.2179700064828602e-5,0.0055899999999999995,5.554844381173532e-6,0.0014
Indonesia,2014,535.5349294421065,2087.901024074737,251.80395041480938,477062417089.81256,477.0624170898126,1869.8715569049311,45.1200738315,2.0567716979701727,524.7464586603451,0.8955748071121203,228.489,1.4025951946749982,162.9044508832388,7.425902388840989,1894.5787637720675,2.126793199867964,36.770806454985,1.6761753163478326,427.6444790714756,890814755233.225,890814.755233225,3491.59588685069,0.05937339293416488,15.148,0,0,0,0,0,75.26150131133049,3.4307507213301793,875.2912602507737,255131116,255.131116,4.217439318534553e-5,0.01076,7.447151213025698e-6,0.0019
Indonesia,2015,571.8436664799625,2104.879818505695,256.9155054154515,492503989693.5995,492.50398969359946,1907.7314791485283,51.1560760048,2.304540960802502,594.945163935824,0.9063374841528354,233.982,1.4195239565282656,164.8313146980982,7.425520994007677,1916.9881899388822,2.2258044159508734,36.39553209697501,1.6395900752788595,423.2800382878194,861256351277.359,861256.3512773591,3336.10668610138,0.053226245479327944,13.741,0,0,0,0,0,71.78927124310782,3.2340501665995585,834.909224557344,258162113,258.162113,7.274498872729632e-5,0.01878,1.4332079781203216e-5,0.0037
Indonesia,2016,570.0529765455362,2135.5689870641345,261.05177890946345,531437119197.0075,531.4371191970075,2035.257228116774,62.69853315392902,2.792572878490174,729.1839405801945,0.9530280878047103,248.85036372793496,1.4216502520439922,175.0433085564806,7.796373717961259,2035.7536785118696,2.1836778087738637,33.931170490784616,1.5112836246959853,394.6195128078251,932259177765.307,932259.177765307,3570.29488811764,0.05531844120326604,14.4445,0,0,0,0,0,72.5875666745383,3.233027310435735,844.1934004248805,261115456,261.115456,3.5756660575059993e-4,0.09336616731094013,5.68351953474558e-5,0.01484054795
Iran,1965,3546.627357459006,NA,223.56114178187252,21979584402.09896,21.97958440209896,880.7647010281844,0.211,0.09833374841189872,2.45393,NA,NA,NA,8.453634029525704,3.939703894908276,98.31576376338394,15.864238879757703,0.7445157271563849,0.3469716692080464,8.658717906828757,6197319928.71287,6197.31992871287,248.338664386554,0.06888954829500886,1.7191466,0,0,0,0,0,7.109118302369319,3.313110192301466,82.67904585655519,24955115,24.955115,0,0,0,0
Iran,1966,3565.758467075648,NA,226.33803812382638,24211281310.420105,24.211281310420105,944.8431741062243,0.232,0.10529546230786474,2.69816,NA,NA,NA,9.19772693431537,4.174478059182054,106.96956424608776,15.75412819088266,0.7805736012404133,0.3542709405513974,9.078070982426008,6789938671.9472,6789.9386719471995,264.976773617847,0.07209108290078119,1.8473092,0,0,0,0,0,7.767153333074956,3.5251982802681034,90.33199326366174,25624656,25.624656,0,0,0,0
Iran,1967,3562.612689439477,NA,229.2651604640688,26916905806.755024,26.916905806755025,1022.7518846143611,0.256,0.11312662580483052,2.9772800000000004,NA,NA,NA,10.095024014909313,4.461000016505562,117.40512929339532,15.539267642009747,0.8183323184416127,0.3616217733294677,9.517204863475957,7555383689.76898,7555.38368976898,287.079167389165,0.07556505083057037,1.98873,0,0,0,0,0,8.5706916964677,3.787396220448709,99.67714442991935,26318119,26.318119,0,0,0,0
Iran,1968,3464.5438238650077,NA,231.84766648428877,29875360619.77299,29.87536061977299,1105.1464363230075,0.28200000000000003,0.1213208639547681,3.2796600000000007,NA,NA,NA,11.079769164387441,4.766692083130792,128.85771538182595,14.943190399113996,0.8741118993511371,0.37605677596603987,10.165921389453725,8623172959.73597,8623.17295973597,318.987576000733,0.07912529538496789,2.1389896,0,0,0,0,0,9.439657265036303,4.061089981670594,109.78321399237221,27032943,27.032943,0,0,0,0
Iran,1969,3386.620674554922,NA,233.613053100941,32996148700.225754,32.99614870022575,1188.3976200109523,0.311,0.13026826381458287,3.6169300000000004,NA,NA,NA,12.144689956753233,5.087034325506898,141.2427441970401,14.49670996376906,1.0256784847190856,0.42962493709430044,11.928640777282967,9743089607.92079,9743.08960792079,350.909574532475,0.08292768768492319,2.3025074,0,0,0,0,0,10.287011472034145,4.308910367532426,119.63794341975711,27765243,27.765243,0,0,0,0
